code,sex1or0,age,PA150m1or0,cdrisc_total,POMmean,CMAAS_total,Resilience_personalcompetence,Resilience_tolerance,Resilience_positiveaccept,Resilience_control,Resilience_spiritual
4020,1,20,1,82,5,68,3.125,2.857142857,4,3,4
1074,0,21,1,81,2.714285714,62,2.875,3.714285714,3.2,3,3.5
1028,1,20,1,81,3.571428571,67,3.375,3,3.2,3.666666667,3
1038,0,22,1,81,5,47,3.5,2.428571429,3.2,4,4
126,1,18,1,81,4.571428571,75,3.375,3.428571429,3.4,2,3.5
72,0,18,1,81,4.285714286,61,3.5,3.142857143,3.4,2.666666667,3
1040,0,23,1,81,4,57,3.5,2.857142857,3.4,3.333333333,3
1002,0,24,1,81,4.428571429,62,3.125,3,3.6,3.666666667,3
21251,0,29,0,81,3.714285714,82,3.5,3,3.8,2.666666667,2.5
30,0,20,1,80,3.714285714,69,3.25,3.142857143,3.2,3.333333333,3
1137,1,22,1,80,3,50,3,3.142857143,3.6,3,3.5
160,0,19,0,80,3,69,3.25,3,3.6,2.666666667,3.5
211,0,21,1,79,4,53,3.625,2.857142857,2.8,3,3.5
9,0,18,1,79,5,64,3.375,3.142857143,3,3,3
1032,0,21,1,79,4.142857143,68,3.125,3.285714286,3.2,3.333333333,2.5
1158,0,20,1,79,2.857142857,65,3.25,3.285714286,3.2,3.333333333,2
1133,0,19,1,79,4.142857143,61,3.25,3.285714286,3.2,3,2.5
1008,0,25,0,79,4.857142857,66,3.125,2.857142857,3.2,3.333333333,4
118,0,18,1,79,5,67,3.5,2.714285714,3.4,3,3
85,1,19,1,79,5,57,3.5,3.285714286,3.6,2.333333333,1.5
1014,0,21,1,78,4.571428571,75,3.375,3.571428571,2.8,3,1.5
1053,0,21,1,78,3,68,3.375,3,3,3,3
1144,1,20,1,78,4,60,3.25,2.571428571,3.2,3.333333333,4
57,0,20,1,77,3.857142857,43,3.25,3.142857143,3,2.333333333,3.5
1046,1,20,1,77,3.428571429,51,2.625,3.285714286,3.2,3,4
1034,0,26,1,77,4,57,3,3.285714286,3.2,2.666666667,3
13,1,19,1,77,2.142857143,48,3.125,3.285714286,3.2,1.666666667,4
4015,0,20,1,77,3.857142857,76,3.375,2.714285714,3.4,3.333333333,2
60,1,20,0,77,3.428571429,64,3.125,2.714285714,3.6,2.333333333,4
150,0,19,1,76,3.857142857,58,3.375,3.428571429,2,2.333333333,4
29,0,19,1,76,3.428571429,68,3.625,2.857142857,2.8,2,3.5
4030,0,21,1,76,3.857142857,58,3,3,3,3.333333333,3
176,0,20,1,76,4.142857143,75,3,3,3,3.333333333,3
1068,0,21,0,76,3.571428571,80,3.25,3,3,3.333333333,2
1071,0,23,1,76,4,63,3.375,3,3,2,3.5
35,1,19,1,76,4.142857143,57,3,2.857142857,3,3,4
87,0,18,1,76,3.571428571,68,2.5,3.428571429,3.2,3.666666667,2.5
3002,1,22,1,76,4,75,2.875,2.857142857,3.2,3.333333333,3.5
1151,0,26,1,76,4.428571429,77,3.125,2.857142857,3.2,3,3
4028,0,20,1,76,3.857142857,2,3.125,2.857142857,3.2,3,3
55,1,21,1,76,1.714285714,75,3.125,2.714285714,3.8,2.666666667,2.5
100,0,19,1,75,4.714285714,55,3.25,2.857142857,2.8,3,3
1124,0,24,0,75,2.285714286,53,3.5,3.428571429,3,2.666666667,0
1043,0,24,1,75,3.714285714,79,3.125,3,3,2.666666667,3
3001,1,21,1,75,4,73,2.875,2.714285714,3,3.333333333,4
205,0,20,0,75,2.285714286,55,3.375,2.571428571,3,3,3
21,0,19,1,75,3.428571429,49,3.125,3.285714286,3.2,2.666666667,1.5
1229,0,21,1,75,2.428571429,63,3.25,3,3.2,2.666666667,2
